"sleepStartTimestampGMT","sleepEndTimestampGMT","calendarDate","sleepWindowConfirmationType","deepSleepSeconds","lightSleepSeconds","remSleepSeconds","awakeSleepSeconds","unmeasurableSeconds","retro"
"2022-04-19T03:49:00.0","2022-04-19T12:24:00.0","2022-04-19","ENHANCED_CONFIRMED_FINAL","2520","18000","10260","120","0","False"
"2022-04-20T03:05:00.0","2022-04-20T12:35:00.0","2022-04-20","ENHANCED_CONFIRMED_FINAL","3960","19080","10980","180","0","False"
"2022-04-21T03:43:00.0","2022-04-21T12:56:00.0","2022-04-21","ENHANCED_CONFIRMED_FINAL","3180","23100","6180","720","0","False"
"2022-04-22T03:34:00.0","2022-04-22T12:52:00.0","2022-04-22","ENHANCED_CONFIRMED_FINAL","1380","22860","8040","1200","0","False"
"2022-04-23T04:18:00.0","2022-04-23T12:04:00.0","2022-04-23","ENHANCED_CONFIRMED_FINAL","3300","19380","5280","0","0","False"
"2022-04-24T03:59:00.0","2022-04-24T13:14:00.0","2022-04-24","ENHANCED_CONFIRMED_FINAL","4020","18420","10320","540","0","False"
"2022-04-25T03:32:00.0","2022-04-25T12:23:00.0","2022-04-25","ENHANCED_CONFIRMED_FINAL","2580","19680","8400","420","780","False"
"2022-04-26T03:45:00.0","2022-04-26T12:41:00.0","2022-04-26","ENHANCED_CONFIRMED_FINAL","4260","18540","8100","1260","0","False"
"2022-04-27T04:01:00.0","2022-04-27T12:47:00.0","2022-04-27","ENHANCED_CONFIRMED_FINAL","3000","21060","6900","600","0","False"
"2022-04-28T04:24:00.0","2022-04-28T13:01:00.0","2022-04-28","ENHANCED_CONFIRMED_FINAL","3420","20520","6960","120","0","False"
"2022-04-29T03:47:00.0","2022-04-29T13:18:00.0","2022-04-29","ENHANCED_CONFIRMED","3300","19500","11220","240","0","False"
"2022-04-30T04:35:00.0","2022-04-30T13:41:00.0","2022-04-30","ENHANCED_CONFIRMED_FINAL","5880","16140","10260","480","0","False"
