"sleepStartTimestampGMT","sleepEndTimestampGMT","calendarDate","sleepWindowConfirmationType","deepSleepSeconds","lightSleepSeconds","remSleepSeconds","awakeSleepSeconds","unmeasurableSeconds","retro"
"2021-07-02T03:00:00.0","2021-07-02T12:00:00.0","2021-07-02","UNCONFIRMED","","","","","","False"
"2021-07-03T05:30:00.0","2021-07-03T14:24:00.0","2021-07-03","ENHANCED_CONFIRMED_FINAL","540","19380","11580","540","0","False"
"2021-07-04T03:55:00.0","2021-07-04T12:22:00.0","2021-07-04","ENHANCED_CONFIRMED_FINAL","3060","17640","9660","60","0","False"
"2021-07-05T03:59:00.0","2021-07-05T12:44:00.0","2021-07-05","ENHANCED_CONFIRMED_FINAL","1620","18300","11520","60","0","False"
"2021-07-06T03:50:00.0","2021-07-06T12:24:00.0","2021-07-06","ENHANCED_CONFIRMED_FINAL","1200","21480","7500","660","0","False"
"2021-07-07T04:54:00.0","2021-07-07T12:41:00.0","2021-07-07","AUTO_CONFIRMED_FINAL","4620","23400","","0","0","False"
"2021-07-08T03:33:00.0","2021-07-08T13:15:00.0","2021-07-08","ENHANCED_CONFIRMED_FINAL","3420","22740","7920","840","0","False"
"2021-07-09T03:50:00.0","2021-07-09T13:20:00.0","2021-07-09","ENHANCED_CONFIRMED_FINAL","2880","20760","10140","420","0","False"
"2021-07-10T03:30:00.0","2021-07-10T11:55:00.0","2021-07-10","ENHANCED_CONFIRMED_FINAL","2100","19860","8160","180","0","False"
"2021-07-11T05:45:00.0","2021-07-11T13:40:00.0","2021-07-11","ENHANCED_CONFIRMED_FINAL","1740","19440","7320","0","0","False"
"2021-07-12T03:39:00.0","2021-07-12T12:17:00.0","2021-07-12","ENHANCED_CONFIRMED_FINAL","4800","15720","10380","180","0","False"
"2021-07-13T03:43:00.0","2021-07-13T12:55:00.0","2021-07-13","ENHANCED_CONFIRMED_FINAL","5280","18840","8340","660","0","False"
"2021-07-14T05:01:00.0","2021-07-14T12:21:00.0","2021-07-14","ENHANCED_CONFIRMED_FINAL","300","19500","6480","120","0","False"
"2021-07-15T04:20:00.0","2021-07-15T13:17:00.0","2021-07-15","ENHANCED_CONFIRMED_FINAL","2940","18720","9360","1200","0","False"
"2021-07-16T04:50:00.0","2021-07-16T12:49:00.0","2021-07-16","ENHANCED_CONFIRMED_FINAL","900","20280","7560","0","0","False"
"2021-07-17T04:02:00.0","2021-07-17T12:44:00.0","2021-07-17","ENHANCED_CONFIRMED_FINAL","2580","16920","11460","360","0","False"
"2021-07-18T04:47:00.0","2021-07-18T13:53:00.0","2021-07-18","ENHANCED_CONFIRMED_FINAL","4500","15780","10500","1980","0","False"
"2021-07-19T03:36:00.0","2021-07-19T12:03:00.0","2021-07-19","ENHANCED_CONFIRMED_FINAL","1320","18360","10620","120","0","False"
"2021-07-20T03:19:00.0","2021-07-20T12:32:00.0","2021-07-20","ENHANCED_CONFIRMED_FINAL","1800","23280","7080","1020","0","False"
"2021-07-21T04:00:00.0","2021-07-21T12:05:00.0","2021-07-21","ENHANCED_CONFIRMED_FINAL","2460","20520","5340","780","0","False"
"2021-07-22T03:00:00.0","2021-07-22T12:06:00.0","2021-07-22","ENHANCED_CONFIRMED_FINAL","5340","19380","7980","60","0","False"
"2021-07-23T03:58:00.0","2021-07-23T13:01:00.0","2021-07-23","ENHANCED_CONFIRMED_FINAL","2700","23640","6060","180","0","False"
"2021-07-24T04:53:00.0","2021-07-24T14:47:00.0","2021-07-24","ENHANCED_CONFIRMED_FINAL","2880","18480","12600","1680","0","False"
"2021-07-25T03:30:00.0","2021-07-25T13:50:00.0","2021-07-25","ENHANCED_CONFIRMED","1320","26160","8520","1200","0","False"
"2021-07-26T04:51:00.0","2021-07-26T12:26:00.0","2021-07-26","ENHANCED_CONFIRMED_FINAL","3480","21060","2520","240","0","False"
"2021-07-27T03:42:00.0","2021-07-27T11:55:00.0","2021-07-27","ENHANCED_CONFIRMED_FINAL","3660","18180","7200","540","0","False"
"2021-07-28T03:37:00.0","2021-07-28T11:54:00.0","2021-07-28","ENHANCED_CONFIRMED","2460","20400","6360","600","0","False"
"2021-07-29T03:42:00.0","2021-07-29T12:57:00.0","2021-07-29","ENHANCED_CONFIRMED_FINAL","3600","19260","10380","60","0","False"
"2021-07-30T04:42:00.0","2021-07-30T13:01:00.0","2021-07-30","ENHANCED_CONFIRMED_FINAL","2280","22320","4740","600","0","False"
"2021-07-31T03:43:00.0","2021-07-31T12:08:00.0","2021-07-31","ENHANCED_CONFIRMED_FINAL","4680","20280","2820","300","2220","False"
"2021-08-01T04:59:00.0","2021-08-01T14:46:00.0","2021-08-01","ENHANCED_CONFIRMED","2100","24600","7320","1200","0","False"
"2021-08-02T04:42:00.0","2021-08-02T12:21:00.0","2021-08-02","ENHANCED_CONFIRMED_FINAL","5340","15360","6840","0","0","False"
"2021-08-03T03:34:00.0","2021-08-03T12:06:00.0","2021-08-03","ENHANCED_CONFIRMED_FINAL","3840","19800","6180","900","0","False"
"2021-08-04T04:20:00.0","2021-08-04T12:19:00.0","2021-08-04","ENHANCED_CONFIRMED_FINAL","1980","21540","4920","300","0","False"
"2021-08-05T03:08:00.0","2021-08-05T12:05:00.0","2021-08-05","ENHANCED_CONFIRMED","780","18900","8280","480","3780","False"
"2021-08-06T04:27:00.0","2021-08-06T13:04:00.0","2021-08-06","ENHANCED_CONFIRMED_FINAL","0","22020","8460","540","0","False"
"2021-08-07T03:47:00.0","2021-08-07T12:20:00.0","2021-08-07","ENHANCED_CONFIRMED_FINAL","3300","18600","8640","240","0","False"
"2021-08-08T06:02:00.0","2021-08-08T14:41:00.0","2021-08-08","OFF_WRIST","0","0","","0","0","False"
