"sleepStartTimestampGMT","sleepEndTimestampGMT","calendarDate","sleepWindowConfirmationType","deepSleepSeconds","lightSleepSeconds","remSleepSeconds","awakeSleepSeconds","unmeasurableSeconds","retro"
"2022-02-20T04:25:00.0","2022-02-20T13:20:00.0","2022-02-20","ENHANCED_CONFIRMED_FINAL","3840","20880","7080","300","0","False"
"2022-02-21T05:06:00.0","2022-02-21T13:07:00.0","2022-02-21","ENHANCED_CONFIRMED_FINAL","3660","17100","7860","240","0","False"
"2022-02-22T05:46:00.0","2022-02-22T13:42:00.0","2022-02-22","ENHANCED_CONFIRMED_FINAL","4560","16620","7320","60","0","False"
"2022-02-23T04:41:00.0","2022-02-23T13:10:00.0","2022-02-23","ENHANCED_CONFIRMED_FINAL","4560","17760","8100","120","0","False"
"2022-02-24T05:05:00.0","2022-02-24T13:44:00.0","2022-02-24","ENHANCED_CONFIRMED_FINAL","3480","17280","9540","840","0","False"
"2022-02-25T05:05:00.0","2022-02-25T13:38:00.0","2022-02-25","ENHANCED_CONFIRMED_FINAL","4200","17940","8100","540","0","False"
"2022-02-26T04:30:00.0","2022-02-26T14:05:00.0","2022-02-26","ENHANCED_CONFIRMED_FINAL","4020","20100","10080","300","0","False"
"2022-02-27T04:38:00.0","2022-02-27T14:14:00.0","2022-02-27","ENHANCED_CONFIRMED_FINAL","5520","20820","7800","420","0","False"
"2022-02-28T04:49:00.0","2022-02-28T13:37:00.0","2022-02-28","ENHANCED_CONFIRMED_FINAL","5820","18000","7680","180","0","False"
"2022-03-01T05:29:00.0","2022-03-01T13:02:00.0","2022-03-01","ENHANCED_CONFIRMED_FINAL","3600","19080","4440","60","0","False"
"2022-03-02T04:34:00.0","2022-03-02T13:29:00.0","2022-03-02","ENHANCED_CONFIRMED_FINAL","4140","22260","5340","360","0","False"
"2022-03-03T04:47:00.0","2022-03-03T13:24:00.0","2022-03-03","ENHANCED_CONFIRMED_FINAL","3600","18120","8760","540","0","False"
"2022-03-04T04:14:00.0","2022-03-04T13:11:00.0","2022-03-04","ENHANCED_CONFIRMED_FINAL","5280","16680","9240","1020","0","False"
"2022-03-05T05:09:00.0","2022-03-05T13:50:00.0","2022-03-05","ENHANCED_CONFIRMED","4200","18720","7560","780","0","False"
