"sleepStartTimestampGMT","sleepEndTimestampGMT","calendarDate","sleepWindowConfirmationType","deepSleepSeconds","lightSleepSeconds","remSleepSeconds","awakeSleepSeconds","unmeasurableSeconds","retro"
"2021-10-01T03:48:00.0","2021-10-01T12:08:00.0","2021-10-01","ENHANCED_CONFIRMED_FINAL","1800","20280","7560","360","0","False"
"2021-10-02T04:08:00.0","2021-10-02T12:45:00.0","2021-10-02","ENHANCED_CONFIRMED_FINAL","3360","18000","9480","180","0","False"
"2021-10-03T04:07:00.0","2021-10-03T13:19:00.0","2021-10-03","ENHANCED_CONFIRMED_FINAL","6120","18540","8100","360","0","False"
"2021-10-04T04:12:00.0","2021-10-04T12:05:00.0","2021-10-04","ENHANCED_CONFIRMED_FINAL","3480","21300","3480","120","0","False"
"2021-10-05T03:05:00.0","2021-10-05T11:31:00.0","2021-10-05","ENHANCED_CONFIRMED_FINAL","2880","17520","9960","0","0","False"
"2021-10-06T03:20:00.0","2021-10-06T12:19:00.0","2021-10-06","ENHANCED_CONFIRMED_FINAL","4500","18120","9120","600","0","False"
"2021-10-07T04:13:00.0","2021-10-07T12:23:00.0","2021-10-07","ENHANCED_CONFIRMED_FINAL","4740","17700","6900","60","0","False"
"2021-10-08T04:02:00.0","2021-10-08T12:10:00.0","2021-10-08","ENHANCED_CONFIRMED_FINAL","3360","16440","9360","120","0","False"
"2021-10-09T05:19:00.0","2021-10-09T14:03:00.0","2021-10-09","ENHANCED_CONFIRMED_FINAL","4740","20460","6120","120","0","False"
"2021-10-10T04:34:00.0","2021-10-10T14:26:00.0","2021-10-10","ENHANCED_CONFIRMED_FINAL","3660","22320","9300","240","0","False"
"2021-10-11T04:17:00.0","2021-10-11T12:04:00.0","2021-10-11","ENHANCED_CONFIRMED_FINAL","3120","16140","8580","180","0","False"
"2021-10-12T03:38:00.0","2021-10-12T12:07:00.0","2021-10-12","ENHANCED_CONFIRMED_FINAL","1440","19200","8220","1620","0","False"
"2021-10-13T03:55:00.0","2021-10-13T12:09:00.0","2021-10-13","ENHANCED_CONFIRMED_FINAL","3720","20280","5220","420","0","False"
"2021-10-14T03:07:00.0","2021-10-14T12:03:00.0","2021-10-14","ENHANCED_CONFIRMED_FINAL","3420","17880","10380","480","0","False"
"2021-10-15T03:56:00.0","2021-10-15T12:31:00.0","2021-10-15","ENHANCED_CONFIRMED","4080","15480","11280","60","0","False"
"2021-10-16T04:59:00.0","2021-10-16T12:01:00.0","2021-10-16","ENHANCED_CONFIRMED","3180","15960","5820","360","0","False"
"2021-10-17T05:07:00.0","2021-10-17T12:44:00.0","2021-10-17","ENHANCED_CONFIRMED","4080","16020","7320","0","0","False"
"2021-10-18T02:43:00.0","2021-10-18T12:24:00.0","2021-10-18","ENHANCED_CONFIRMED_FINAL","3960","18180","12240","480","0","False"
"2021-10-19T04:05:00.0","2021-10-19T12:09:00.0","2021-10-19","ENHANCED_CONFIRMED_FINAL","3240","20160","5400","240","0","False"
"2021-10-20T04:23:00.0","2021-10-20T12:07:00.0","2021-10-20","ENHANCED_CONFIRMED_FINAL","2280","17160","8280","120","0","False"
"2021-10-21T03:21:00.0","2021-10-21T12:07:00.0","2021-10-21","ENHANCED_CONFIRMED_FINAL","3180","22500","5760","120","0","False"
"2021-10-22T04:26:00.0","2021-10-22T12:30:00.0","2021-10-22","ENHANCED_CONFIRMED_FINAL","2940","18420","7440","240","0","False"
"2021-10-23T04:42:00.0","2021-10-23T13:15:00.0","2021-10-23","ENHANCED_CONFIRMED_FINAL","3720","19200","7860","0","0","False"
"2021-10-24T03:54:00.0","2021-10-24T12:51:00.0","2021-10-24","ENHANCED_CONFIRMED_FINAL","3780","16200","11760","480","0","False"
"2021-10-25T03:43:00.0","2021-10-25T12:10:00.0","2021-10-25","ENHANCED_CONFIRMED","4080","16440","9720","180","0","False"
"2021-10-26T03:52:00.0","2021-10-26T12:03:00.0","2021-10-26","ENHANCED_CONFIRMED_FINAL","3240","17760","8340","120","0","False"
"2021-10-27T03:57:00.0","2021-10-27T12:52:00.0","2021-10-27","ENHANCED_CONFIRMED_FINAL","2580","20280","8280","960","0","False"
"2021-10-28T04:14:00.0","2021-10-28T11:41:00.0","2021-10-28","ENHANCED_CONFIRMED_FINAL","2220","16860","7680","60","0","False"
"2021-10-29T03:32:00.0","2021-10-29T12:06:00.0","2021-10-29","ENHANCED_CONFIRMED_FINAL","3180","18060","8940","660","0","False"
"2021-10-30T04:57:00.0","2021-10-30T13:39:00.0","2021-10-30","ENHANCED_CONFIRMED_FINAL","3540","22320","5220","240","0","False"
"2021-10-31T06:08:00.0","2021-10-31T14:30:00.0","2021-10-31","ENHANCED_CONFIRMED_FINAL","3720","19860","6480","60","0","False"
"2021-11-01T03:22:00.0","2021-11-01T12:10:00.0","2021-11-01","ENHANCED_CONFIRMED_FINAL","4020","18120","9120","420","0","False"
"2021-11-02T04:30:00.0","2021-11-02T12:18:00.0","2021-11-02","ENHANCED_CONFIRMED_FINAL","3180","15600","9180","120","0","False"
"2021-11-03T03:47:00.0","2021-11-03T12:09:00.0","2021-11-03","ENHANCED_CONFIRMED_FINAL","4620","18360","6780","360","0","False"
"2021-11-04T04:17:00.0","2021-11-04T13:10:00.0","2021-11-04","ENHANCED_CONFIRMED","3120","18780","9960","120","0","False"
"2021-11-05T04:33:00.0","2021-11-05T12:14:00.0","2021-11-05","ENHANCED_CONFIRMED","3300","16080","8160","120","0","False"
"2021-11-06T03:24:00.0","2021-11-06T12:31:00.0","2021-11-06","ENHANCED_CONFIRMED","2760","21840","8040","180","0","False"
"2021-11-07T01:09:00.0","2021-11-07T13:09:00.0","2021-11-07","ENHANCED_CONFIRMED","3900","25980","11520","1740","0","False"
"2021-11-08T02:55:00.0","2021-11-08T13:12:00.0","2021-11-08","ENHANCED_CONFIRMED_FINAL","3120","21720","11100","1080","0","False"
"2021-11-09T05:41:00.0","2021-11-09T13:29:00.0","2021-11-09","ENHANCED_CONFIRMED_FINAL","4440","17700","5700","240","0","False"
"2021-11-10T04:11:00.0","2021-11-10T13:27:00.0","2021-11-10","ENHANCED_CONFIRMED_FINAL","3600","23520","5760","480","0","False"
"2021-11-11T04:43:00.0","2021-11-11T13:16:00.0","2021-11-11","ENHANCED_CONFIRMED_FINAL","2280","21600","6840","60","0","False"
"2021-11-12T04:39:00.0","2021-11-12T13:08:00.0","2021-11-12","ENHANCED_CONFIRMED_FINAL","3360","18360","8700","120","0","False"
"2021-11-13T04:24:00.0","2021-11-13T12:36:00.0","2021-11-13","ENHANCED_CONFIRMED_FINAL","5160","18540","5280","540","0","False"
"2021-11-14T03:47:00.0","2021-11-14T12:00:00.0","2021-11-14","ENHANCED_CONFIRMED_FINAL","4320","14040","10920","300","0","False"
"2021-11-15T04:09:00.0","2021-11-15T12:47:00.0","2021-11-15","ENHANCED_CONFIRMED","3780","17880","9360","60","0","False"
"2021-11-16T04:47:00.0","2021-11-16T13:07:00.0","2021-11-16","ENHANCED_CONFIRMED_FINAL","3900","17520","8460","120","0","False"
"2021-11-17T04:22:00.0","2021-11-17T13:09:00.0","2021-11-17","ENHANCED_CONFIRMED_FINAL","1740","16260","13560","60","0","False"
"2021-11-18T05:07:00.0","2021-11-18T13:05:00.0","2021-11-18","ENHANCED_CONFIRMED_FINAL","3600","16140","8940","0","0","False"
"2021-11-19T04:50:00.0","2021-11-19T13:25:00.0","2021-11-19","ENHANCED_CONFIRMED_FINAL","3420","18960","8520","0","0","False"
"2021-11-20T05:50:00.0","2021-11-20T15:07:00.0","2021-11-20","ENHANCED_CONFIRMED","3540","19380","8400","2100","0","False"
